"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
6201.471,5597.602,6149.575,5604.33,7152.41,3136.769,8359.618,6524.578,8057.413,8109.356,6885.718,5955.559,5152.994,5317.636,6899.936,7883.224
1033.995,1069.048,1042,1009.177,1126.082,922.527,2421.45,1033.166,1061.042,1861.012,1469.553,896,813.141,1451.009,799.503,1251.014
225.061,651.024,264.699,577.24,478.416,528.123,1401.926,432.125,292.101,882.248,723.608,283.965,131.757,929.445,348.776,838.419
0,1,2,0,0,0,0,1,3,39,46,5,1,3,1,2
2308.921,2266.573,2555.499,2773.792,2894.296,1314.34,4251.229,2691.262,3749.579,2796.414,2616.38,2913.196,1457.958,1445.408,2287.137,2190.083
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4244.704,2716.465,4439.927,2945.791,5064.914,2295.74,4516.276,3735.958,6393.938,5179.48,4127.089,3871.947,4357.236,3303.15,4816.525,4363.093
0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
129.249,160.785,99.576,145.555,48.542,44.619,123.678,60.694,92.83,208.441,166.876,115.966,104.395,118.263,125.085,128.448
71.486,63.007,86.195,105.586,76.829,60.621,126.075,60.99,59.822,65.17,66.792,61.325,50.745,80.053,66.345,55.154
630.336,738.963,599.946,631.791,575.635,522.734,1000.174,501.33,553.296,963.996,860.172,455.984,501.618,981.229,722.843,1148.126
247.005,246.261,276,220.001,306,216,384.326,243.183,173.04,219.097,188,150,224.003,301.185,234.003,365.381
0,12.954,31.25,21.722,39.112,4.006,20.318,16.3,22.932,17.605,27.271,14.212,0,13.336,33.247,8.187
0,0,7.396,13.373,20.22,0,0,12.515,0,11.853,16.421,11.753,0,7.343,0,0
0,1.801,4.997,2.526,0,0,0,0,2.081,2.069,5.309,0,0,4.036,7.474,3.865
0,4.512,0,0,0,0,0,0,0,0,4.917,0,0,0,7.502,4.753
0,0,8.097,0,0,0,0,0,0,0,0,0,0,2.269,0,0
27.314,18.764,34.869,24.819,60.551,17.758,50.407,57.161,35.321,50.262,39.254,22.037,45.765,26.508,54.326,36.813
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11.783,6,9,4,3,13,3,4,6,4,9,7,6,5,5
3.118,0,2.793,0,1.12,0,0,2.49,0,3.304,1.142,1.31,1.542,0,0,2.533
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.218,41.733,17.71,61.139,54.22,36.776,84.68,10.175,69.249,8.247,38.758,29.24,29.807,5.007,63.986,128.87
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.584,36.992,24.488,18.636,50.147,35.258,67.708,12.937,46.445,32.703,46.425,0,28.585,25.972,0,37.856
