"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
73.815811,53.449086,75.822767,59.666603,57.506863,41.4986,58.590958,79.794533,70.284439,50.585679,47.220191,70.717959,59.435972,47.103281,60.423075,42.140915
1.338868,1.994419,1.902131,1.963989,3.827592,1.049271,0.774322,3.253781,1.877686,1.576812,1.054253,1.449101,1.794637,1.175942,1.496138,3.723185
0.095665,0.082242,0.075859,0.060473,0.015874,0.055306,0.036163,0.039719,0.12875,0,0.071841,0.093428,0.065468,0.219938,0.075127,0.459802
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.815719,5.170719,2.464931,3.912343,3.646862,4.467617,4.501232,2.767093,4.643938,11.145163,8.201936,2.786047,4.595784,6.897563,2.960794,5.129572
0,0,0.4452,0,0,0.108238,0,0,0,0,0,0,0,0,0,0
18.642178,17.052703,21.177996,20.004629,15.376719,23.624412,18.631052,16.967063,18.585777,24.324385,19.876904,20.390779,18.698877,28.047401,19.633962,27.517005
7.014779,3.823651,6.256677,3.793211,4.578841,2.209903,3.534487,5.489744,4.926849,2.374512,3.960566,6.880052,6.302475,2.046694,5.327365,2.572102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.487672,9.176492,3.83294,7.743771,5.441881,10.583559,10.412525,7.025897,2.963106,5.075274,7.430733,4.042745,6.647427,13.195849,6.322006,12.134881
9.980321,11.039034,8.1915,12.257928,10.65097,10.333153,12.642623,10.82367,8.801606,7.842125,10.5537,9.144193,10.254155,13.02045,10.965062,12.940769
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.814682,21.428667,26.231405,23.075626,20.389953,22.314658,26.039951,25.357669,23.45073,22.838333,23.500033,19.710501,24.379746,22.983226,28.356284,20.203942
17.896171,10.586709,16.325263,15.576924,23.599064,12.253899,11.648293,18.573007,15.726203,13.87788,14.951874,16.761445,16.864829,20.538181,22.029927,14.610152
11.636588,8.619458,9.913443,9.769694,6.571701,5.19248,9.307421,11.182003,11.720772,9.197831,10.774395,7.812535,7.190723,9.112388,10.73181,11.232027
26.59454,29.667958,46.572053,37.263136,17.098588,27.543608,23.9421,26.459339,26.634197,28.260676,23.445352,21.356994,23.168094,23.810943,23.465422,17.796072
